category,business_count,saturation_score,saturation_level
"Web Development, Ecommerce, Food Retailers, Catering, Take Aways, Wine and Beer, General Shopping, Logistics, Tigmoo, Food Delivery, Take away",1,0.03125,Low
"General Office Services, Office Supplies, Computer Consumables, Ink Cartridges, Printer Supplies",1,0.03125,Low
"Consultants, Industrial Automation, Industrial Equipment, Industrial Services, Construction Equipment, Electrodes, Welding machines",1,0.03125,Low
"Industrial Automation, Automotive, Motorcar Accessories & Supplies, Automobile Batteries, Auto Parts- New & Used, Auto Supplies, Battery, Lubricants, Automotive",1,0.03125,Low
"Advertising, Social Media, Web Design, Search Engine Optimisation, Web Development, Social Media Management, Web development, Web Design",1,0.03125,Low
"Retail Services, Barcode Systems, Computer Consumables, Web Design, Multimedia Design",1,0.03125,Low
"Leisure, Conferences, Hotels, Lodges Lusaka Zambia, Lodges in Lusaka, Lodgeslodgessafari lodges",1,0.03125,Low
"Training, Online Content, Web Design, Graphic Design, Web Development, Content Management, Software solutions, Web Design, Graphic design",1,0.03125,Low
"Advertising, Graphic Design, Logo Design, Online Advertising, Digital Media, Social Media, Graphic Designing, Website design, Web hosting",1,0.03125,Low
"Bookmakers, Online Casinos and Poker, Casinos",1,0.03125,Low
"Photography, Corporate Photographers, Photographers, Wedding Photography, Weddings, Wedding Photographers, Wedding Photographer",1,0.03125,Low
"Small Business, Online Content, Mental Health Care, Farming, Advice Centres, Voluntary Organisations, Sustainability",1,0.03125,Low
"Advertising, Advertising Agencies, Digital Media, Social Media, Marketing, Web Design, facebook marketing, social media marketing, digital marketing, Web Design",1,0.03125,Low
"Film, Television and Video, Projector Hire and Sales, Event Equipment, Audio Visual, Event Services, Event Management, Exhibition",1,0.03125,Low
"Training, Consulting, Audit and Accounting, Business Management Consulting, Financial Activity, Taxation, BUSINESS ADVISORY, Accounting",1,0.03125,Low
"Human Resources, HR Consultancy, Small Business, Business Advice, Audit and Accounting, Business Management Consulting",1,0.03125,Low
"Medical Equipment, Laboratory Testing, Industrial Supplies, Chemicals, Chemicals Cleaning, Petroleum Products, Mining Chemicals, Laboratory Equipment, Industrial chemicals",1,0.03125,Low
"Communications, Satellite Communications, Web Services, Internet Security, Cyber Security, IT Solutions, IT CONSULTANCY",1,0.03125,Low
"Advertising, Advertising Agencies, Brand Management, Design Agencies, Logo Design, Social Media, digital marketing, Branding, Ecommerce, Web Design",1,0.03125,Low
"Advertising, T-Shirt Printing, Printing, Design and Print, Screen Printing, Business to Business",1,0.03125,Low
"Retail Services, Barcode Systems, Point of Sale Solutions, Small Business, Business Funding, Software Applications, Software, Financial Activity, Mobile Phone Shops, Payments, Mobile, Software",1,0.03125,Low
"Energy Suppliers, Renewable Energy, Solar Energy, Sustainable Energy, Solar Panels, Solar Panels, Solar Batteries, Solar energy",1,0.03125,Low
"Information Technology, Banking Equipment, Information, Technology",1,0.03125,Low
"Health and Safety, Saftey Equipment, Event Services, Weddings, Wedding Planners, Fire Safety Equipment, Events Management, Food Suppliers, Consultancy",1,0.03125,Low
"Advertising, Human Resources, Market Research, Small Business, Training, Software Applications, Funding, Management, Entrepreneurship, Technology, Training",1,0.03125,Low
"Software Applications, Audit and Accounting, Management consultants",1,0.03125,Low
"Advertising, Advertising Software, Computer Software Solution, Software Applications",1,0.03125,Low
"Advertising, Digital Signage, Web Design, Web Hosting, Web Services, Domain Name Registration, online business, social media marketing, Web hosting, Web Design",1,0.03125,Low
"Civil Engineering, Bridge Construction, Structural Engineers, Construction Equipment, Construction Services, Drilling, Borehole",1,0.03125,Low
"Software Applications, Information Technology, Software, Logistics, Taxis",1,0.03125,Low
"Security Services, Rapid Response, Alarms, Security services",1,0.03125,Low
"Investment Companies, Insurance Companies, Health Insurance",1,0.03125,Low
"Farming, Wood Products, Hardware Stores, Building Materials, Fabric Shops in Lusaka, Fabric",1,0.03125,Low
"Civil Engineering, Construction, Transport, Freight, Transport, Logistics, Haulage",1,0.03125,Low
"Advertising, Advertising Agencies, Advertising Software, Brand Management, Advertising Equipment, Digital Media, Digital advertising, Branding, Graphics, Marketing",1,0.03125,Low
"Security Services, Car Parts and Accessories, Haulage, Motorbikes, Transport, Vehicle Services, Fleet management, GPS tracking, Cctv",1,0.03125,Low
"Wine and Beer, Whisky and Spirits, Beverage & Drinks, Fmcg Distributors in Zambia, Beverage Companies in Zambia, Food and Beverage, Whole Sale, Alcohol, Marketing",1,0.03125,Low
"Advertising, Online Advertising, Web Design, Web Development, Web Services, SEO, Web development, Web Design, Online advertising",1,0.03125,Low
"Electronic Equipment, Tigmoo",1,0.03125,Low
"Farming, Agricultural Equipment, Massey Ferguson Tractors",1,0.03125,Low
"Farming, Agricultural Equipment, Tractor Parts and Spares, Tractor Dealers In Zambia, Brand New Massey Ferguson In Zambia, Tractors Company In Zambia",1,0.03125,Low
"Cleaning Equipment & Services, General Business, Vehicle Services, Transport Agents, Freight Forwarders, Zambia revenue authority",1,0.03125,Low
"Home and Garden, Home Decor, Building Materials, Construction Equipment, Construction Services, Decorators",1,0.03125,Low
"Security Services, Security, Cctv, Security",1,0.03125,Low
"Web Development, Content Management, Database Driven Websites, Ecommerce, Web Services, Website Maintenance, Web development, Web Design",1,0.03125,Low
"Web Design, Graphic Design, Search Engine Optimisation, Web Designers, Web Development, Web Hosting in Zambia, seo in Zambia",1,0.03125,Low
"Advertising, Brand Management, Disinfecting Services",1,0.03125,Low
"Health and Safety, Saftey Equipment, Industrial Automation, Machine Vision, Auto Services, Auto Supplies, Fleet management",1,0.03125,Low
"Advertising, Overseas Business, Import and Export Agents, Small Business, Web Development, Ecommerce, import and export",1,0.03125,Low
"Civil Engineering, Farming, Agricultural Supplies, Industrial Services, Construction, Vehicle Services",1,0.03125,Low
"Industrial Supplies, Factories, Steel Products, Cable Tray, Enclosure, Feeder Pillar",1,0.03125,Low
"Web Design, Web Development, Database Driven Websites, Ecommerce, Web Services, Domain Name Registration, Website Design in Zambia",1,0.03125,Low
"Farming, Agricultural Consultant, Agricultural Services, Agriculture, Food Safety",1,0.03125,Low
"Security Services, Energy Suppliers, Solar Energy, Engineers, Farming, Agricultural Supplies, Agriculture, Car Parts and Accessories, Amiran Zambia, Solar energy equipment",1,0.03125,Low
"Printing, Design and Print, Tailors and Alterations, Clothing and Accessories, Children's Clothing, Uniforms, Branding, Printing",1,0.03125,Low
"Consultants, Overseas Business, Investment Companies, Legal Services, Business Management Consulting, Legal Services, Financial advisory",1,0.03125,Low
"Car Parts and Accessories, Car Rental, Vehicle Services, Performance Centre, Headlight Restoration Near Me, Auto Performance Centre, Auto Performance, Automotive Performance Center, Automotive Performance, Automotive Performance Centre, Lusaka Automotive Service, Motor car repairs",1,0.03125,Low
"Internet Service Providers, Banks, Credit Unions, Electrical Goods, Air Conditioning",1,0.03125,Low
"General Business, Barfig Zambia, Barfig Swim Pool Ltd, Barfig, Barfig Swim Pools Ltd",1,0.03125,Low
"Online Content, Research and Reference, Energy Suppliers, Renewable Energy, Environmental Services, Environment",1,0.03125,Low
"Human Resources, Employee Surveys, Employment Training, HR Consultancy, HR Outsourcing, Performance Management",1,0.03125,Low
"Clothing and Accessories, Fashion Accessories, Shoes, Bags, Department Stores, Electrical Goods, Electronics, Furniture, Shoes",1,0.03125,Low
"Advertising, Graphic Design, Online Advertising, Social Media, Web Design, Graphic Design, Website Designing, Lusaka zambia, Web Design, Marketing, Graphic design",1,0.03125,Low
"General Office Services, Stationery, Farming, Agriculture, Jewellery, Aluminium, Capital Fisheries",1,0.03125,Low
"Brokers, Investment Companies, Insurance Companies, Farming, Agriculture, Jewellery, Aluminium",1,0.03125,Low
"Oil & Gas Companies, Filling Stations in Zambia",1,0.03125,Low
"Cleaning Equipment & Services, Retail Services, Retail and Shop Cleaning, Laundry and Dry Cleaning, Cleaning, WINDOW CLEANING, CLEANING MATERIALS, Cleaning services, Pest Control",1,0.03125,Low
"Cleaning Equipment & Services, General Office Services, Stationery, Printing, Secretarial Services, Internet Service Providers, Networking, Computer Networking, Audit and Accounting, Energy Suppliers, Solar Energy, Engineers, Farming, Agricultural Supplies, Industrial Services, Mobile Phone Shops, Air Transport, Logistics, Vehicle Services, Shipping & Port Agent",1,0.03125,Low
"Air Travel, Air Transport, Flights, Safari, Air charter",1,0.03125,Low
"Advertising, Advertising Agencies, Market Research, Digital Media, Web Services, Advertising Agency in Lusaka",1,0.03125,Low
"Retail Services, Packaging Solutions, Industrial Services, Steel Products, Clothing and Accessories, Headwear, Home and Garden, Jewellery, Textile, Building Materials, Chemicals, Plastic Products, Paint Companies in Zambia, Decotex Paints Prices, Decotex Paint Prices, Decotex",1,0.03125,Low
"General Business, Consulting, Banks, Credit Unions, Business Management Consulting, Financial Activity, Farming, Agriculture, Environment, Tourism, Agriculture",1,0.03125,Low
"Travel Agents, Air Travel, Car hire, Safari, Travel, Zambia, Tours",1,0.03125,Low
"Retail Services, Point of Sale Solutions, Computer Software Solution, Web Development, Ecommerce, mobile application, Point of Sale, Software solutions, Web development",1,0.03125,Low
"Apartments, Tour Operators, Tourist Information, Travel Agents, Visa Agencies, Places to Visit, Air Travel, Travel, Tourism, Accommodation, Car rental",1,0.03125,Low
"Energy Suppliers, Electricity Suppliers, Solar Energy, Electrical Service, Solar Panels",1,0.03125,Low
"General Business, Health and Safety, Consultants, Investment Companies, Insurance Companies, Financial Activity, Insurance Services, Construction, Retirement, First National Bank",1,0.03125,Low
Payroll Services,1,0.03125,Low
"Food Manufacturing, Food Processing, Food Retailers, Airports, Car Rental, Shipping & Port Agent",1,0.03125,Low
"Cleaning Equipment & Services, General Office Services, Stationery, Printing, Secretarial Services, Security Services, Communications, Internet Service Providers, Networking, Computer Networking, Audit and Accounting, Energy Suppliers, Solar Energy, Engineers, Farming, Agriculture, Jewellery, Aluminium, Air Transport, Car Parts and Accessories, Logistics, Vehicle Services, Shipping & Port Agent",1,0.03125,Low
"Advertising, Advertising Agencies, SMS Marketing, Advertising Equipment, Logistics, Auto Repair",1,0.03125,Low
"Consultants, Market Research, Market Research Consultants, Research and Development, Food Safety, Consultancy, Training",1,0.03125,Low
"General Office Services, Stationery, Retail Services, Packaging Solutions, Industrial Services, Steel Products, Clothing and Accessories, Headwear, Home and Garden, Jewellery, Textile, Chemicals, Plastic Products, Manal Investment, Classecon Roofing Sheets, Classecon, Steel Companies in Zambia",1,0.03125,Low
"Retail Services, Packaging Solutions, Industrial Services, Clothing and Accessories, Headwear, Home and Garden, Jewellery, Textile, Chemicals, Plastic Products, Beverage & Drinks, Plastic Bottle Manufacturers in Zambia, Manufacturing Companies in Lusaka, Beverage Companies in Zambia, Mmi Steel Lusaka, Amiran Zambia, Heinrich's Beverages",1,0.03125,Low
"Real Estate Agents, Realtors",1,0.03125,Low
"Conferences, Event Services, Event Management, Hospitality Management",1,0.03125,Low
"Advertising, Brand Management, Information Services, Test",1,0.03125,Low
"Advertising, Social Media, Logos",1,0.03125,Low
"Energy Suppliers, Generator Hire, Load shedding",1,0.03125,Low
"Vehicle Services, Motor car repairs",1,0.03125,Low
"Cleaning Equipment & Services, General Office Services, Printing, Secretarial Services, Internet Service Providers, Audit and Accounting, Farming, Agriculture, Jewellery, Aluminium, Air Transport, Vehicle Services, Shipping & Port Agent",1,0.03125,Low
"Cleaning Equipment & Services, General Office Services, Printing, Secretarial Services, Internet Service Providers, Audit and Accounting, Air Transport, Logistics, Vehicle Services, Shipping & Port Agent, Mercury Address, Mecury, Marcury, Mobile Express Lusaka, Mercury Couriers Zambia, Mercury Courier, Mercury Express, Mercury Zambia, Mercury, Mercury Couriers, Mercury Logistics",1,0.03125,Low
"Advertising, Advertising Agencies, Brand Management, Music Production, Adverts",1,0.03125,Low
"Insurance Companies, Financial Activity, Construction, Mount Meru Petroleum Zambia, Mount Meru Zambia, Mount Meru Zambia Head Office, Mount Meru Zambia Contact Details, Construction companies",1,0.03125,Low
"Human Resources, Immigration Consultants, Migration Services, Small Business, Business Immigration, BUSINESS ADVISORY",1,0.03125,Low
"Retail Services, Packaging Solutions, Food Retailers, Wholesalers, Farming, Wood Products, Industrial Services, Clothing and Accessories, Headwear, Home and Garden, Kitchen Equipment, Jewellery, Textile, Aluminium, Chemicals, Plastic Products, Vehicle Services, Packaging Companies in Lusaka, Garage",1,0.03125,Low
Aviation,1,0.03125,Low
"Doctors and Clinics, Legal Aid Address",1,0.03125,Low
"Cleaning Equipment & Services, Civil Engineering, Building Materials, Construction Services, Chemicals, Pest Control",1,0.03125,Low
"Retail Services, Retail Supplies, Small Business, Wholesale Traders, Food Retailers, Food Supplies, Farming, Agricultural Supplies, Factories, Steel Products, Aluminium, Construction, Logistics, Real estates, Equipment, Alluminium, Suppliers, Transporters, Industry, Storage, Manufacturing, Building, Contractors, Business, Steel, Services, Warehousing, Wood, Shops, Agriculture",1,0.03125,Low
"Farming, Animal Feed, Novatek Zambia, Investorpass, Shareholders, Luse, Zamleather, Bread, Flour, Edible oils, Dairy products, Milk, Eggs, Chickens, Pork, Beef, Agri-business, Contact, Share quote, Annual report, Corporate, Media centre, Investor relations, West africa, Zambeef, Home, Zambia",1,0.03125,Low
"Food Manufacturing, Food Retailers, Food Supplies, Food Products, parmalat, Diamond products",1,0.03125,Low
"Beauty Professionals, Doctors and Clinics, Medical Clinic, Nursing and Care, Healthcare Products, Healthcare Lusaka",1,0.03125,Low
"Web Design, Graphic Design, Web Development, Content Management, Web Services, hosting, Design, Website, Development, Zambia",1,0.03125,Low
"Weddings, Bridal Wear, Industrial Services, Clothing and Accessories, Pep Stores Zambia Working Hours, Pep Store Email Address, Pep Stores",1,0.03125,Low
"General Office Services, Stationery, Insurance Companies, Financial Activity, Civil Engineering, Engineers, Engineering, Building Materials, Construction Services, Construction, Vehicle Services, Gnm Projects Zambia, Construction Companies in Zambia, Construction companies in Lusaka",1,0.03125,Low
"Retail Services, Packaging Solutions, Point of Sale Solutions, Small Business, Business Support Services, Computer Consumables, Printer Supplies, Audit and Accounting, Industrial Automation, Industrial Computers, Barcodes, It services",1,0.03125,Low
"Sports, Fitness Equipment, Fitness, Health Coach, Personal Trainers, Weight Loss, Sports, Training",1,0.03125,Low
"Human Resources, HR Consultancy, Market Research, Data Collection, Research and Development, Consultancy, Research",1,0.03125,Low
"Retail Services, Packaging Solutions, Farming, Wood Products, Industrial Services, Steel Products, Clothing and Accessories, Headwear, Hardware Stores, Home and Garden, Jewellery, Textile, Building Materials, Chemicals, Plastic Products",1,0.03125,Low
"Schools, Primary Schools, Secondary Schools, After School Programs, Private school",1,0.03125,Low
"Farming, Agriculture, Home and Garden, Saro Contact, Saro, Saro Zambia, Saro Agro Lusaka, Saro Zambia Contact Details, Saro Lusaka, Saro Agro Contact Details, Saro Agro, Lighting",1,0.03125,Low
"Real Estate Agents, Vacation Rentals, Apartment Rental, Realtors",1,0.03125,Low
"Beauty Products, Cosmetics",1,0.03125,Low
"Advertising, zra returns, Company Registration, Logo designing, Business cards, Printing",1,0.03125,Low
"Advertising, Advertising Agencies, Brand Management, Graphic Design, Online Advertising, Digital Media, social media marketing, digital marketing, Graphics Design",1,0.03125,Low
"General Office Services, Stationery, Communications, Telecom Consultants, Networking, Computer Networking, Networking Consultants, WiFi, Hardware Stores, Stationery suppliers",1,0.03125,Low
"General Office Services, Stationery, Arts and Crafts, Industrial Services, Steel Products, Home and Garden, Carpet & Rug Dealers-New, Jewellery, Mobile Phone Shops, Car Parts and Accessories, Car Rental, Vehicle Services, Southern Cross Motors",1,0.03125,Low
"Air Travel, Air Transport, Airlines",1,0.03125,Low
"Locksmiths, Key cutting",1,0.03125,Low
"Advertising, Brand Management, Consultants, Market Research, Digital Media",1,0.03125,Low
"Human Resources, Customer Services, FinTech (Financial Technology), Financial Activity",1,0.03125,Low
"Opticians, Optical Shop, opticians in lusaka",1,0.03125,Low
"Advertising, Photography Services, Photography, Wedding Photography, Event Services, Event Photography, Weddings, Event management",1,0.03125,Low
"Attractions, Outdoor Activities, Travel Agents, Victoria falls",1,0.03125,Low
"Advertising, Graphic Design, Logo Design, Magazine Publishing, Media Consultancy, Digital Media, Brand Identity, Print, Graphic design",1,0.03125,Low
"Civil Engineering, Construction, Vehicle Services",1,0.03125,Low
"Building Materials, Construction Services",1,0.03125,Low
"Education, Universities, Education",1,0.03125,Low
"Industrial Services, Clothing and Accessories, Shoes, Chemicals, Zamleather Contact Number, Footwear, Investorpass, Shareholders, Luse, Zamleather, Bread, Flour, Edible oils, Dairy products, Milk, Eggs, Chickens, Pork, Beef, Agri-business, Contact, Share quote, Annual report, Corporate, Media centre, Investor relations, West africa, Zambeef, Home, Zambia",1,0.03125,Low
"Human Resources, Human resource, Zambia",1,0.03125,Low
"Communications, Mobile Phone Services, Web Development, Web Services, Website Management, Information Technology, Branding, Web Design, Marketing",1,0.03125,Low
"Education, Finance, Accountancy, Acca, Accounting",1,0.03125,Low
"Insurance Companies, Financial Activity, Farming, Wood Products, Hardware Stores, Building Materials, Construction, Milling Companies, Milling Companies in Lusaka, List of Milling Companies in Zambia, Milling Companies in Zambia, African Milling, Construction companies",1,0.03125,Low
"Civil Engineering, Engineers, Engineering, Steel Products, Vehicle Services, Fuel Transportation Companies, Agrofuel Zambia, Agrofuel, Agro Fuel, Transport Companies in Zambia",1,0.03125,Low
"Advertising, Advertising Agencies, Insurance Companies, Tax Consultants, Civil Engineering, Construction, Logistics, Transport, Real Estate Agents, Fuel Transportation Companies, Agrofuel Zambia, Agrofuel, Agro Fuel, Transport Companies in Zambia, Insurance agents",1,0.03125,Low
"Advertising, Human Resources, Employment Agencies, Employment Training, Education, Jobs in Zambia, Zambia Jobs",1,0.03125,Low
"Legal Services, Detective Agencies, Anti Corruption Organizations, Integrity",1,0.03125,Low
"Insurance Companies, Financial Activity, Industrial Services, Steel Products, Home and Garden, Construction, Car Parts and Accessories, Car Rental, Vehicle Services",1,0.03125,Low
"Cleaning Equipment & Services, General Office Services, Stationery, Printing, Secretarial Services, Internet Service Providers, Arts and Crafts, Audit and Accounting, Home and Garden, Carpet & Rug Dealers-New, Jewellery, Mobile Phone Shops, Air Transport, Car Parts and Accessories, Car Rental, Logistics, Vehicle Sales, Vehicle Services, Shipping & Port Agent, Autoworld Contact Details, Autoworld Contact, Autoworld, Autoworl, Auto-world, Auto World Zambia Contacts, Auto World Woodlands, Auto World Phone Number, Auto World Contact Number, Auto World Zambia, Auto",1,0.03125,Low
"General Office Services, Stationery, Arts and Crafts, Home and Garden, Carpet & Rug Dealers-New, Jewellery, Mobile Phone Shops, Car Parts and Accessories, Car Rental, Vehicle Sales, Vehicle Services, Lusaka Automotive Service",1,0.03125,Low
"Vehicle Sales, Performance Centre, Headlight Restoration Near Me, Auto Performance Centre, Auto Performance, Automotive Performance Center, Automotive Performance, Automotive Performance Centre",1,0.03125,Low
"Vehicle Services, Mechanics, Auto Repair, Auto Insurance, Auto Services, Tire Dealers, Gearbox, Service",1,0.03125,Low
"Pumps Manufacturers, Pool Construction Companies Near Me, Barfig Zambia, Barfig Swim Pool Ltd, Barfig, Barfig Swim Pools Ltd",1,0.03125,Low
"General Office Services, Meeting Room Hire, Office Equipment, Internet Service Providers, Internet Cafes, meeting, Internet, Hire",1,0.03125,Low
"Advertising, Advertising Agencies, Consultants, Tax Consultants, Business Management Consulting, Civil Engineering, Engineers, Engineering, Vehicle Services",1,0.03125,Low
"General Office Services, Stationery, Book World Zambia, Stationery suppliersstationers",1,0.03125,Low
"Security Services, Event Services, Event Security Services, Industrial Premises, Security Fencing, Security, Rapid Response, Cctv, Alarms",1,0.03125,Low
"Retail Services, Packaging Solutions, Farming, Agricultural Supplies, Wood Products, Industrial Services, Steel Products, Clothing and Accessories, Headwear, Hardware Stores, Home and Garden, Jewellery, Textile, Building Materials, Chemicals, Plastic Products",1,0.03125,Low
"Cleaning Equipment & Services, General Office Services, Contract Cleaners, cleaning equipment, Cleaning",1,0.03125,Low
"Advertising, Photography Services, Web Design, Multimedia Design, Film, Television and Video, Animation, Film, Branding, Design, Sound",1,0.03125,Low
"Advertising, Advertising Agencies, Insurance Companies, Tax Consultants, Logistics, Real Estate Agents, Sonex Hardware, Insurance agents",1,0.03125,Low
Chemicals,1,0.03125,Low
"Human Resources, Employment Agencies, Online Content, Classifieds",1,0.03125,Low
"Marketing, Best deals in Zambia, Deals in Zambia",1,0.03125,Low
"Catering, Food Delivery, Restaurants, Fast Food, Pizza Restaurants, Take Aways, Lunch Delivery, Pizza Delivery, Debonairs, Debonairs Contact Number, debonairs pizza, debonairs zambia",1,0.03125,Low
"General Office Services, Postal Services, Logistics, Shipping & Port Agent, Post Offices, Dhl Zambia Address, Dhl in Zambia, Dhl Contact, Dhl Contact Number, Dhl Zambia Contact Number, dhl zambia contact, dhl zambia, Courier, Customs clearance",1,0.03125,Low
"Advertising, Advertising Agencies, Design Agencies, Media Consultancy, Online Advertising, Digital Media, App Development, social media marketing, digital marketing, Web Design, Graphic design",1,0.03125,Low
"Advertising, Marketing, Communications, Mobile Phone Services, Online Content, Leisure, Phones, Houses, Laptops, Computers",1,0.03125,Low
"General Office Services, Event Services, Business Management Consulting, Financial Activity, Environmental Services",1,0.03125,Low
"Architectural Services, Construction Services, Construction, Electrical installations, Refrigeration",1,0.03125,Low
Web Services,1,0.03125,Low
"Farming, Agricultural Supplies, Agriculture, Agriculture Companies in Zambia, Food Reserve Agency",1,0.03125,Low
"Food Retailers, Food Products",1,0.03125,Low
"Advertising, Advertising Agencies, Cleaning Equipment & Services, General Office Services, Printing, Secretarial Services, Internet Service Providers, Insurance Companies, Tax Consultants, Audit and Accounting, Air Transport, Logistics, Vehicle Services, Shipping & Port Agent, Real Estate Agents, Global logistics",1,0.03125,Low
"Retail Services, Packaging Solutions, Food Retailers, Supermarkets, Wholesalers, Farming, Agricultural Supplies, Industrial Services, Clothing and Accessories, Headwear, Home and Garden, Jewellery, Textile, Chemicals, Plastic Products, Mining Companies in Zambia, Gourock Zambia",1,0.03125,Low
"Brokers, General Business, Consultants, Small Business, Business Advice, Investment Companies, Insurance Companies, Legal Services, Insurance agentsinsurance brokers",1,0.03125,Low
Auctioneers,1,0.03125,Low
"Advertising, 3D Visualisations, Advertising Agencies, Brand Management, Design Agencies, Graphic Design, Branding, Graphic design, Advertising",1,0.03125,Low
"Health and Safety, Emergency Preparedness, Occupational Health, Consultants, Environmental Services, Environmental Impact Assessment",1,0.03125,Low
"Cleaning Equipment & Services, General Office Services, Contract Cleaners, Affordable",1,0.03125,Low
"Hotels, Hotel, Accommodation",1,0.03125,Low
"Training, Computer Software Solution, Computer Training, Point of Sale, Sage Pastel, payroll, Accounting software",1,0.03125,Low
"General Office Services, Stationery, Retail Services, Packaging Solutions, Farming, Agriculture, Industrial Services, Steel Products, Clothing and Accessories, Headwear, Home and Garden, Jewellery, Textile, Aluminium, Chemicals, Plastic Products, Kachema Butchery Lusaka, Kachema Meat Zambia, Butcheries in Lusaka, Kachema Meat Supplies, Kachema Meat Jobs, Kachema, Kachema Meat, Kachema Meat Suppliers Address",1,0.03125,Low
"Air Travel, Air Transport",1,0.03125,Low
"Farming, Agriculture, Jewellery, Aluminium, Chemicals, Plastic Products, King Chemicals Limited, King Chemicals, Kings Chemicals Limited, Kings Chemicals, Kings Chemicals Zambia",1,0.03125,Low
"Advertising, Newspaper Publishers, Online Advertising, Online Content, Classifieds, News, Technology",1,0.03125,Low
"Software Applications, Car Rental, car rental zambia",1,0.03125,Low
"Retail Services, Packaging Solutions, Security Services, Energy Suppliers, Solar Energy, Engineers, Farming, Agricultural Supplies, Agriculture, Industrial Services, Clothing and Accessories, Headwear, Home and Garden, Kitchen Equipment, Jewellery, Textile, Aluminium, Building Materials, Chemicals, Plastic Products, Car Parts and Accessories, Vehicle Services, Companies in Lusaka, Lamsat Zambia, Lamasat Zambia Contact Details, Lamasat International, Lamasat Lusaka, Lamasat Contact Details, Lamasat, Lamasat Zambia, water tanks",1,0.03125,Low
"Medical Equipment, Laboratory Testing, Nkanza Laboratories Zambia Contact Details",1,0.03125,Low
"Advertising, 3D Displays, Advertising Agencies, Brand Management, Corporate Identity Design, Digital Signage, Logo design",1,0.03125,Low
"Cleaning Equipment & Services, General Office Services, Printing, Secretarial Services, Internet Service Providers, Audit and Accounting, Air Transport, Logistics, Vehicle Services, Shipping & Port Agent, Zambia, Lusaka",1,0.03125,Low
"Cleaning Equipment & Services, General Office Services, Printing, Secretarial Services, Internet Service Providers, Audit and Accounting, Civil Engineering, Energy Suppliers, Solar Energy, Engineers, Farming, Agricultural Supplies, Industrial Services, Construction, Air Transport, Logistics, Vehicle Services, Shipping & Port Agent",1,0.03125,Low
Mechanics,1,0.03125,Low
"Advertising, Advertising Agencies, Human Resources, Consultants, Tax Consultants, Business Management Consulting",1,0.03125,Low
"Web Design, Web Designers, Web Development, Web Hosting, Web Services, Domain Name Registration, website hosting, Web hosting",1,0.03125,Low
"General Office Services, Stationery, Retail Services, Packaging Solutions, Industrial Services, Clothing and Accessories, Headwear, Home and Garden, Jewellery, Textile, Chemicals, Plastic Products",1,0.03125,Low
"Food Retailers, Butchers, Butchery",1,0.03125,Low
"Consultants, Investment Companies, Insurance Companies, Financial Activity, Construction, List of Insurance Companies in Zambia, Insurance Companies in Zambia",1,0.03125,Low
"Doctors and Clinics, Hospitals, Eye Care - Vision Care, Pediatrician, Oncologists, Ophthalmologists, Hospitals Near Me, Private Clinics in Lusaka, Hospital",1,0.03125,Low
"Retail Services, Packaging Solutions, Civil Engineering, Farming, Agricultural Supplies, Wood Products, Industrial Services, Hardware Stores, Building Materials, Construction Services, Hardware Shops in Lusaka, Hardware Shop Near Me, Micmar Hardware, Micmar Zambia, Micmar",1,0.03125,Low
"Health and Safety, Saftey Equipment",1,0.03125,Low
"Networking, Cabling and Fibre Optics, Film, Television and Video, Film and TV Production, TV and Film Graphics, Web TV, Multichoice Zambia Lusaka, multichoice, dstv contact, dstv zambia contact number, dstv zambia contact, dstv zambia, dstv, multichoice zambia",1,0.03125,Low
"Retail Services, Packaging Solutions, Industrial Services, Clothing and Accessories, Headwear, Home and Garden, Jewellery, Textile, Chemicals, Plastic Products, Packaging Companies in Zambia, Nampac Zambia, Nampak, Nampak Zambia, Glass Bottle Manufacturers in Zambia",1,0.03125,Low
"Banks, Credit Unions, Natsave Bank",1,0.03125,Low
"Architectural Services, Architecture, Building, Architects, Construction",1,0.03125,Low
"General Office Services, Stationery, Networking, Computer Networking, Hardware Stores, computer hardware, Telecommunication, Electronics, Stationery suppliers",1,0.03125,Low
"Overseas Business, Import and Export Agents, Retail Services, Packaging Solutions, Logistics, Removals and Relocation, Removals, Moving, Clearing, Freight",1,0.03125,Low
"Energy Suppliers, Solar Energy, Engineers, Office Machines Zambia, Office Machines, Solar energy equipment",1,0.03125,Low
"General Office Services, Stationery, Retail Services, Packaging Solutions, Farming, Wood Products, Industrial Services, Clothing and Accessories, Headwear, Hardware Stores, Home and Garden, Jewellery, Textile, Building Materials, Chemicals, Plastic Products, Mri Seed Zambia, Afriseed, Syngenta Zambia, Agriculture Companies in Zambia, Novatek Zambia",1,0.03125,Low
"Cleaning Equipment & Services, General Office Services, Human Resources, Employee Relocation, Consultants, Printing, Secretarial Services, Internet Service Providers, Investment Companies, Insurance Companies, Audit and Accounting, Financial Activity, Air Transport, Logistics, Vehicle Services, Shipping & Port Agent",1,0.03125,Low
"Conferences, Event Equipment, Audio Visual, Conference Products, Sound Equipment Hire, Event Services, Interpretation, Translation, Event management",1,0.03125,Low
"Weddings, Bridal Wear, Wedding Accessories, Clothing and Accessories, Uniforms, Interior Design",1,0.03125,Low
"Catering Equipment, Bar Equipment, Coffee Machines, Water Filters and Coolers, Catering, Catering Supplies, Catering Schools in Lusaka, products, Zambia, Lusaka, Catering equipment",1,0.03125,Low
